k,mean_share,n
-6,0.0225779395125402,5784
-5,0.0186834358367043,6193
-4,0.0239233926914082,6826
-3,0.0308722588514981,7120
-2,0.0416515806155879,7446
-1,0.0540053675051461,7975
0,0.924379689011143,10749
1,0.688231706441672,9994
2,0.772934563935704,9327
3,0.728151512244991,5610
4,0.744681316567448,5409
5,0.736877589497358,5311
6,0.732313089539859,5158
