definition,exposure_years,spec,subject,parameter,estimate,se,switchers
main,2,3 horizons,language,ATE,0.0083,0.0395,
main,2,3 horizons,language,Effect_1,0.0301,0.0424,228
main,2,3 horizons,language,Effect_2,0.0709,0.0606,48
main,2,3 horizons,language,Effect_3,-0.0334,0.0422,203
main,2,3 horizons,language,Placebo_1,0.0099,0.0433,187
main,2,3 horizons,language,Placebo_2,0.9861,0.7168,2
main,2,3 horizons,mathematics,ATE,-0.0788,0.0541,
main,2,3 horizons,mathematics,Effect_1,-0.0561,0.0557,228
main,2,3 horizons,mathematics,Effect_2,-0.0098,0.088,48
main,2,3 horizons,mathematics,Effect_3,-0.0969,0.0567,203
main,2,3 horizons,mathematics,Placebo_1,-0.0357,0.054,187
main,2,3 horizons,mathematics,Placebo_2,1.2078,0.9627,2
