definition,design,subject,spec,parameter,estimate,se,switchers
main,three censuses,language,"2 horizons, same switchers",Effect_1,-0.0612,0.0121,3124
main,three censuses,language,"2 horizons, same switchers",Effect_2,-0.0228,0.0117,3124
main,three censuses,mathematics,1 horizon,ATE,-0.0754,0.012,
main,three censuses,mathematics,1 horizon,Effect_1,-0.0754,0.012,4447
main,three censuses,mathematics,1 horizon,Placebo_1,0.0402,0.0211,1002
main,three censuses,mathematics,2 horizons,ATE,-0.0984,0.0126,
main,three censuses,mathematics,2 horizons,Effect_1,-0.0754,0.012,4447
main,three censuses,mathematics,2 horizons,Effect_2,-0.1078,0.0147,3112
main,three censuses,mathematics,"2 horizons, pupil-weighted",ATE,-0.0546,0.0087,
main,three censuses,mathematics,"2 horizons, pupil-weighted",Effect_1,-0.0281,0.0077,4447
main,three censuses,mathematics,"2 horizons, pupil-weighted",Effect_2,-0.0741,0.0095,3112
main,three censuses,mathematics,"2 horizons, same switchers",ATE,-0.1222,0.0146,
main,three censuses,mathematics,"2 horizons, same switchers",Effect_1,-0.1083,0.0143,3099
main,three censuses,mathematics,"2 horizons, same switchers",Effect_2,-0.107,0.0146,3099
