group,n,pct_public,pct_rural,mean_log_enrol,mean_bl_lang,mean_bl_math,mean_repeater
non-reverters,5503,89.1,55.6,4.081,5.075,5.227,0.184
reverters,4956,83.1,42.4,4.604,5.098,5.204,0.154
