lb,ub,method,Delta,Mbar
0.0455761322834977,0.227880661417488,C-LF,DeltaRM,0.5
0.0107539188534096,0.285234895302339,C-LF,DeltaRM,1
-0.0384068530478913,0.346685860178965,C-LF,DeltaRM,1.5
-0.0978094524286298,0.408136825055591,C-LF,DeltaRM,2
