lb,ub,method,Delta,Mbar
-0.0414638232794504,0.104314250145143,C-LF,DeltaRM,0.5
-0.0772536496890811,0.140104076554774,C-LF,DeltaRM,1
-0.116535166480139,0.179385593345832,C-LF,DeltaRM,1.5
-0.158435451057268,0.220412955327604,C-LF,DeltaRM,2
