k,est,lo,hi,subject,spec
-2,-0.000250681397828118,-0.0487584494182851,0.0482570866226289,Language,uncontrolled
-1,0.0160442203148764,-0.0158580105117836,0.0479464511415364,Language,uncontrolled
0,0,,,Language,uncontrolled
1,0.00328212544868072,-0.017535895291063,0.0241001461884245,Language,uncontrolled
2,0.032972510058334,0.0037905872604901,0.0621544328561779,Language,uncontrolled
3,-0.00660508463630943,-0.0431900746559757,0.0299799053833568,Language,uncontrolled
-2,0.0634342804668836,0.0020051007729174,0.12486346016085,Mathematics,uncontrolled
-1,0.022721161301572,-0.0150532547287537,0.0604955773318978,Mathematics,uncontrolled
0,0,,,Mathematics,uncontrolled
1,0.0118328536423328,-0.0134514124329448,0.0371171197176103,Mathematics,uncontrolled
2,0.050754016800554,0.0141558858942603,0.0873521477068477,Mathematics,uncontrolled
3,-0.033050308207274,-0.0804925177254984,0.0143919013109504,Mathematics,uncontrolled
