lb,ub,method,Delta,Mbar
-0.0611527853208558,0.105731451255685,C-LF,DeltaRM,0.5
-0.0897288532277977,0.138879690027738,C-LF,DeltaRM,1
-0.12287709199985,0.174314014232346,C-LF,DeltaRM,1.5
-0.157168373488181,0.212034423869509,C-LF,DeltaRM,2
