first_switch_wave,schools,supports_k2,mean_log_enroll_yes,mean_log_enroll_no,switch_year,gap
2,907,860,5.20358673015314,3.87319973804217,2018,1.33038699211097
3,660,128,4.94623362925948,4.6539705814243,2021,0.29226304783518
4,116,111,5.56494617573134,3.37649550165619,2022,2.18845067407515
5,430,396,4.89625887216346,2.88577681852901,2023,2.01048205363445
6,951,0,,4.81203898923291,2025,
