lb,ub,method,Delta,Mbar
-0.0276841022815032,0.179624756663707,C-LF,DeltaRM,0.5
-0.0598749188879023,0.237568226555225,C-LF,DeltaRM,1
-0.106229694801117,0.299374594439511,C-LF,DeltaRM,1.5
-0.162885532028379,0.362468594988054,C-LF,DeltaRM,2
