horizon,years_since_adoption,cohort,definition,design,schools,pct
3,6,2016,main,five censuses,83,13.1
3,6,2017,main,five censuses,128,20.3
3,6,2018,main,five censuses,1,0.2
3,6,2019,main,five censuses,97,15.3
3,8,2011,main,five censuses,13,21
3,8,2012,main,five censuses,3,4.8
3,8,2013,main,five censuses,2,3.2
3,8,2014,main,five censuses,10,16.1
3,8,2015,main,five censuses,10,16.1
3,8,2016,main,five censuses,8,12.9
3,8,2017,main,five censuses,16,25.8
1,0,2011,main,six waves,222,13
1,0,2012,main,six waves,59,3.5
1,0,2013,main,six waves,42,2.5
1,0,2014,main,six waves,49,2.9
1,0,2015,main,six waves,90,5.3
1,0,2016,main,six waves,53,3.1
1,0,2017,main,six waves,4,0.2
1,0,2018,main,six waves,181,10.6
1,0,2019,main,six waves,1,0.1
1,0,2020,main,six waves,3,0.2
1,0,2021,main,six waves,63,3.7
1,0,2022,main,six waves,75,4.4
1,0,2023,main,six waves,370,21.7
1,0,2025,main,six waves,493,28.9
1,1,2011,main,six waves,158,15.8
1,1,2012,main,six waves,62,6.2
1,1,2013,main,six waves,39,3.9
1,1,2014,main,six waves,37,3.7
1,1,2015,main,six waves,88,8.8
1,1,2016,main,six waves,98,9.8
1,1,2017,main,six waves,130,13
1,1,2018,main,six waves,3,0.3
1,1,2020,main,six waves,74,7.4
1,1,2022,main,six waves,1,0.1
1,1,2023,main,six waves,2,0.2
1,1,2024,main,six waves,307,30.7
1,2,2011,main,six waves,45,19.7
1,2,2012,main,six waves,15,6.6
1,2,2013,main,six waves,9,3.9
1,2,2014,main,six waves,9,3.9
1,2,2015,main,six waves,29,12.7
1,2,2016,main,six waves,9,3.9
1,2,2017,main,six waves,5,2.2
1,2,2018,main,six waves,1,0.4
1,2,2019,main,six waves,106,46.5
1,3,2011,main,six waves,1,7.7
1,3,2013,main,six waves,1,7.7
1,3,2014,main,six waves,1,7.7
1,3,2015,main,six waves,2,15.4
1,3,2019,main,six waves,4,30.8
1,3,2020,main,six waves,1,7.7
1,3,2022,main,six waves,3,23.1
1,4,2011,main,six waves,16,21.9
1,4,2012,main,six waves,4,5.5
1,4,2013,main,six waves,3,4.1
1,4,2014,main,six waves,12,16.4
1,4,2015,main,six waves,12,16.4
1,4,2016,main,six waves,9,12.3
1,4,2017,main,six waves,16,21.9
1,4,2019,main,six waves,1,1.4
1,5,2011,main,six waves,2,20
1,5,2012,main,six waves,4,40
1,5,2013,main,six waves,2,20
1,5,2020,main,six waves,2,20
1,6,2011,main,six waves,6,26.1
1,6,2012,main,six waves,2,8.7
1,6,2013,main,six waves,1,4.3
1,6,2014,main,six waves,1,4.3
1,6,2015,main,six waves,6,26.1
1,6,2016,main,six waves,2,8.7
1,6,2017,main,six waves,1,4.3
1,6,2019,main,six waves,4,17.4
1,8,2011,main,six waves,3,23.1
1,8,2012,main,six waves,3,23.1
1,8,2013,main,six waves,1,7.7
1,8,2014,main,six waves,1,7.7
1,8,2015,main,six waves,1,7.7
1,8,2016,main,six waves,2,15.4
1,8,2017,main,six waves,2,15.4
2,1,2011,main,six waves,29,22.1
2,1,2012,main,six waves,6,4.6
2,1,2013,main,six waves,3,2.3
2,1,2014,main,six waves,5,3.8
2,1,2015,main,six waves,3,2.3
2,1,2016,main,six waves,1,0.8
2,1,2018,main,six waves,1,0.8
2,1,2020,main,six waves,2,1.5
2,1,2021,main,six waves,9,6.9
2,1,2022,main,six waves,72,55
2,2,2011,main,six waves,36,8.5
2,2,2012,main,six waves,14,3.3
2,2,2013,main,six waves,6,1.4
2,2,2014,main,six waves,3,0.7
2,2,2015,main,six waves,4,0.9
2,2,2016,main,six waves,6,1.4
2,2,2017,main,six waves,2,0.5
2,2,2018,main,six waves,3,0.7
2,2,2019,main,six waves,1,0.2
2,2,2020,main,six waves,11,2.6
2,2,2021,main,six waves,1,0.2
2,2,2023,main,six waves,339,79.6
2,3,2011,main,six waves,95,20.5
2,3,2012,main,six waves,29,6.2
2,3,2013,main,six waves,24,5.2
2,3,2014,main,six waves,32,6.9
2,3,2015,main,six waves,68,14.7
2,3,2016,main,six waves,28,6
2,3,2018,main,six waves,168,36.2
2,3,2019,main,six waves,20,4.3
2,4,2011,main,six waves,88,19.6
2,4,2012,main,six waves,33,7.3
2,4,2013,main,six waves,30,6.7
2,4,2014,main,six waves,24,5.3
2,4,2015,main,six waves,66,14.7
2,4,2016,main,six waves,80,17.8
2,4,2017,main,six waves,125,27.8
2,4,2019,main,six waves,4,0.9
2,5,2011,main,six waves,5,38.5
2,5,2014,main,six waves,3,23.1
2,5,2015,main,six waves,1,7.7
2,5,2017,main,six waves,3,23.1
2,5,2020,main,six waves,1,7.7
2,6,2011,main,six waves,3,37.5
2,6,2013,main,six waves,1,12.5
2,6,2014,main,six waves,1,12.5
2,6,2015,main,six waves,2,25
2,6,2019,main,six waves,1,12.5
2,8,2011,main,six waves,1,33.3
2,8,2016,main,six waves,1,33.3
2,8,2017,main,six waves,1,33.3
3,2,2011,main,six waves,36,22.1
3,2,2012,main,six waves,13,8
3,2,2013,main,six waves,8,4.9
3,2,2014,main,six waves,10,6.1
3,2,2015,main,six waves,19,11.7
3,2,2016,main,six waves,18,11
3,2,2018,main,six waves,1,0.6
3,2,2021,main,six waves,58,35.6
3,3,2011,main,six waves,40,17.2
3,3,2012,main,six waves,9,3.9
3,3,2013,main,six waves,4,1.7
3,3,2014,main,six waves,9,3.9
3,3,2015,main,six waves,15,6.4
3,3,2016,main,six waves,11,4.7
3,3,2018,main,six waves,3,1.3
3,3,2020,main,six waves,68,29.2
3,3,2022,main,six waves,74,31.8
3,4,2011,main,six waves,58,20.4
3,4,2012,main,six waves,21,7.4
3,4,2013,main,six waves,10,3.5
3,4,2014,main,six waves,14,4.9
3,4,2015,main,six waves,36,12.7
3,4,2016,main,six waves,10,3.5
3,4,2017,main,six waves,4,1.4
3,4,2018,main,six waves,30,10.6
3,4,2019,main,six waves,101,35.6
3,5,2011,main,six waves,26,29.9
3,5,2012,main,six waves,8,9.2
3,5,2013,main,six waves,6,6.9
3,5,2014,main,six waves,3,3.4
3,5,2015,main,six waves,13,14.9
3,5,2016,main,six waves,16,18.4
3,5,2017,main,six waves,15,17.2
3,6,2011,main,six waves,13,19.1
3,6,2012,main,six waves,3,4.4
3,6,2013,main,six waves,3,4.4
3,6,2014,main,six waves,10,14.7
3,6,2015,main,six waves,12,17.6
3,6,2016,main,six waves,9,13.2
3,6,2017,main,six waves,15,22.1
3,6,2019,main,six waves,3,4.4
3,8,2011,main,six waves,1,50
3,8,2013,main,six waves,1,50
1,0,2011,main,three censuses,198,5.4
1,0,2012,main,three censuses,59,1.6
1,0,2013,main,three censuses,37,1
1,0,2014,main,three censuses,43,1.2
1,0,2015,main,three censuses,82,2.3
1,0,2016,main,three censuses,67,1.8
1,0,2017,main,three censuses,34,0.9
1,0,2018,main,three censuses,44,1.2
1,0,2019,main,three censuses,20,0.5
1,0,2020,main,three censuses,19,0.5
1,0,2021,main,three censuses,15,0.4
1,0,2023,main,three censuses,2526,69.5
1,0,2025,main,three censuses,493,13.6
1,1,2011,main,three censuses,80,9.8
1,1,2012,main,three censuses,34,4.2
1,1,2013,main,three censuses,23,2.8
1,1,2014,main,three censuses,30,3.7
1,1,2015,main,three censuses,77,9.4
1,1,2016,main,three censuses,37,4.5
1,1,2017,main,three censuses,21,2.6
1,1,2018,main,three censuses,23,2.8
1,1,2019,main,three censuses,24,2.9
1,1,2020,main,three censuses,10,1.2
1,1,2021,main,three censuses,15,1.8
1,1,2022,main,three censuses,116,14.2
1,1,2023,main,three censuses,18,2.2
1,1,2024,main,three censuses,307,37.7
1,3,2011,main,three censuses,5,16.1
1,3,2012,main,three censuses,2,6.5
1,3,2013,main,three censuses,5,16.1
1,3,2014,main,three censuses,1,3.2
1,3,2015,main,three censuses,4,12.9
1,3,2016,main,three censuses,4,12.9
1,3,2017,main,three censuses,1,3.2
1,3,2018,main,three censuses,1,3.2
1,3,2019,main,three censuses,4,12.9
1,3,2022,main,three censuses,4,12.9
2,2,2011,main,three censuses,141,5.1
2,2,2012,main,three censuses,41,1.5
2,2,2013,main,three censuses,28,1
2,2,2014,main,three censuses,29,1
2,2,2015,main,three censuses,66,2.4
2,2,2016,main,three censuses,54,2
2,2,2017,main,three censuses,26,0.9
2,2,2018,main,three censuses,36,1.3
2,2,2019,main,three censuses,16,0.6
2,2,2020,main,three censuses,15,0.5
2,2,2021,main,three censuses,12,0.4
2,2,2023,main,three censuses,2299,83.2
2,3,2011,main,three censuses,57,15.8
2,3,2012,main,three censuses,18,5
2,3,2013,main,three censuses,14,3.9
2,3,2014,main,three censuses,15,4.2
2,3,2015,main,three censuses,55,15.2
2,3,2016,main,three censuses,22,6.1
2,3,2017,main,three censuses,12,3.3
2,3,2018,main,three censuses,14,3.9
2,3,2019,main,three censuses,21,5.8
2,3,2020,main,three censuses,8,2.2
2,3,2021,main,three censuses,14,3.9
2,3,2022,main,three censuses,111,30.7
